City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Hithadhoo,MV,-0.6,73.0833,83.1,73,99,13.4,overcast clouds
70,Lorengau,PG,-2.0226,147.2712,80.11,84,100,9.62,overcast clouds
71,Jamestown,US,42.097,-79.2353,73.04,69,1,5.75,clear sky
72,Anapskaya,RU,44.89,37.38,57.43,87,40,8.12,scattered clouds
73,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.97,84,8,9.86,clear sky
74,Broken Hill,AU,-31.95,141.4333,62.31,51,9,8.05,clear sky
75,Nizhniy Tsasuchey,RU,50.5167,115.1333,81.05,19,0,12.15,clear sky
76,Tiksi,RU,71.6872,128.8694,43.66,57,87,6.11,overcast clouds
77,Lebu,CL,-37.6167,-73.65,48.52,79,91,10.98,overcast clouds
78,Kapaa,US,22.0752,-159.319,82.72,66,20,3.0,few clouds
79,East London,ZA,-33.0153,27.9116,55.74,59,0,11.23,clear sky
80,Port Alfred,ZA,-33.5906,26.891,56.5,56,0,11.45,clear sky
81,Qaqortoq,GL,60.7167,-46.0333,39.31,87,100,5.95,overcast clouds
82,Venkatagiri,IN,13.9667,79.5833,81.07,65,79,4.68,broken clouds
83,Zhucheng,CN,35.9947,119.3975,93.54,17,1,8.19,light rain
84,Punta Arenas,CL,-53.15,-70.9167,35.71,87,90,11.9,light rain
85,Kirakira,SB,-10.4544,161.9205,85.15,69,90,6.71,overcast clouds
86,Chokurdakh,RU,70.6333,147.9167,37.06,80,100,18.5,light rain
87,Kalat,PK,29.0225,66.5916,74.43,39,0,2.21,clear sky
88,Labuhan,ID,-6.8844,112.2051,86.02,65,10,3.89,clear sky
89,Bitung,ID,1.4451,125.1824,92.25,68,81,13.53,broken clouds
90,Hami,CN,42.8,93.45,79.74,20,79,5.66,broken clouds
91,Kawambwa,ZM,-9.7915,29.0791,58.42,74,96,7.65,overcast clouds
92,Aloleng,PH,16.1307,119.7824,85.93,68,100,9.91,overcast clouds
93,Barrow,US,71.2906,-156.7887,33.82,86,90,9.22,mist
94,Mweka,CD,-4.85,21.5667,73.29,58,94,2.15,overcast clouds
95,Saldanha,ZA,-33.0117,17.9442,50.05,34,36,19.75,scattered clouds
96,Jaciara,BR,-15.9653,-54.9683,70.43,57,100,2.55,overcast clouds
97,Karymskoye,RU,51.6167,114.35,80.82,24,7,12.59,clear sky
98,Altamira,BR,-3.2033,-52.2064,72.45,90,23,1.5,few clouds
99,Dikson,RU,73.5069,80.5464,30.72,95,100,11.5,overcast clouds
100,Wamba,NG,8.9333,8.6,72.73,88,78,1.86,broken clouds
101,Cherskiy,RU,68.75,161.3,70.81,27,36,22.97,scattered clouds
102,Honiara,SB,-9.4333,159.95,84.13,75,91,4.03,overcast clouds
103,Mount Isa,AU,-20.7333,139.5,73.17,25,0,13.8,clear sky
104,Lavrentiya,RU,65.5833,-171.0,35.94,76,96,12.84,overcast clouds
105,Adrar,MR,20.5022,-10.0711,87.78,12,11,21.32,few clouds
106,Harper,LR,4.375,-7.7169,77.7,88,83,3.4,light rain
107,Morondava,MG,-20.2833,44.2833,66.24,86,6,7.43,clear sky
108,Provideniya,RU,64.3833,-173.3,41.54,64,37,1.59,scattered clouds
109,Sao Filipe,CV,14.8961,-24.4956,78.22,61,100,11.41,overcast clouds
110,Kologriv,RU,58.8275,44.3178,59.83,68,9,1.7,clear sky
111,Hobart,AU,-42.8794,147.3294,54.23,61,75,3.0,broken clouds
112,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,77,40,13.89,scattered clouds
113,Coquimbo,CL,-29.9533,-71.3436,56.93,88,90,2.39,overcast clouds
114,Tateyama,JP,34.9833,139.8667,70.07,93,100,6.51,overcast clouds
115,Mataura,NZ,-46.1927,168.8643,49.48,72,16,0.92,few clouds
116,Mitu,CO,1.1983,-70.1733,72.16,99,99,0.98,overcast clouds
117,Vasai,IN,19.47,72.8,80.69,80,100,4.5,overcast clouds
